INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
Southbound Deerfoot Trail approaching 16 Avenue NE,2 vehicle incident.,12/16/2016 05:37:43 PM,12/16/2016 05:53:31 PM,NE,-114.028551292521,51.0673798693422,"(51.06738, -114.028551)",1
Southbound Deerfoot Trail after 17 Avenue SE,2 vehicle incident,12/16/2016 05:21:32 PM,12/16/2016 05:24:14 PM,SE,-114.008611991531,51.0370350874538,"(51.037035, -114.008612)",1
Southbound Deerfoot Trail at Douglasdale Boulevard SE,2 vehicle incident.,12/16/2016 05:43:35 PM,12/16/2016 05:53:31 PM,SE,-114.005303753851,50.9467413147404,"(50.946741, -114.005304)",1
Ogden Road at 50 Avenue SE,2 vehicle incident.,12/16/2016 05:52:54 PM,12/16/2016 05:53:31 PM,SE,-114.013017226389,51.0065007509199,"(51.006501, -114.013017)",1
4 Street at Meredith Road NE,2 vehicle incident.,12/16/2016 06:07:35 PM,12/16/2016 06:08:16 PM,NE,-114.051692781411,51.0519109727275,"(51.051911, -114.051693)",1
Southbound Blackfoot Trail at 34 Avenue SE,Single vehicle incident,12/16/2016 06:26:59 PM,12/16/2016 06:49:22 PM,SE,-114.046189322117,51.0230817270066,"(51.023082, -114.046189)",1
Symons Valley Road at Kincora Glen Road NW,2 vehicle incident,12/16/2016 06:38:33 PM,12/16/2016 06:49:22 PM,NW,-114.130301981772,51.1655740113606,"(51.165574, -114.130302)",1
Old Banff Coach Road at 85 Street SW,Multi vehicle incident,12/16/2016 08:39:24 PM,12/16/2016 08:40:25 PM,SW,-114.211057468644,51.0667481961639,"(51.066748, -114.211057)",1
Northbound Deerfoot Trail north of McKenzie Lake Boulevard SE,2 vehicle incident.,12/16/2016 11:08:19 PM,12/16/2016 11:10:01 PM,SE,-113.978565497529,50.9165191726756,"(50.916519, -113.978565)",1
8 Avenue at 3 Street SW,Single vehicle incident.,12/17/2016 01:05:18 AM,12/17/2016 01:09:47 AM,SW,-114.055660660695,51.0453323555373,"(51.045332, -114.055661)",1
Radcliffe Drive at 28 Street SE,Single vehicle incident.,12/17/2016 01:07:02 AM,12/17/2016 01:09:47 AM,SE,-113.993065571061,51.0451107712154,"(51.045111, -113.993066)",1
7 Avenue at 5 Street SW,2 vehicle incident,12/17/2016 09:10:04 AM,12/17/2016 09:14:08 AM,SW,-114.073812620485,51.0468208900532,"(51.046821, -114.073813)",1
